a|يك(n;0.5)
beta|بتا(n;0.75),دومين حرف الفبا يوناني(n;0.25)
betrayal|خيانت(n;0.75),غدر(n;0.5),افشا سر(n;0.5)
between|مي(n;0.75),در بين(n;0.5),مابين(n;0.5),در ميان(n;0.5),فيمابين(n;0.25),مابين(d;0.5),در مقام مقايسه(d;0.25)
beverage|نوشابه(n;0.75),شربت(n;0.5),مشروب(n;0.5),اشاميدني(n;0.25),خورش(n;0.25)
bevin|بوين(n;0.75)
beyond|انطرف ماورا(d;0.25),دور(d;0.25),بر از(d;0.25),خارج از(n;0.5),انسو(n;0.25),مافوق(n;0.25)
bicycle|دوچرخه(n;0.75)
big|بزرگ(j;0.75),با عظمت(j;0.25),سترگ(j;0.25),ستبر(j;0.25),ابستن(j;0.25),دارا شكم برامدن(j;0.25),ضخيم(j;0.25)
bike|دوچرخه(n;0.75),كندو زنبو عسل(n;0.25),انبوه(n;0.25),جمعيت(n;0.25),مخفف دوچرخه(n;0.25)
bilateral|دو طرفه(j;0.75),دو جانبه(j;0.75),متقارن الطرفين(j;0.25),دوكناري(j;0.25)
bilingual|دوزباني(j;0.5),بدو زبان نوشتن شدن(j;0.25),متلكم بدو زبان(j;0.25)
billion|بيليون(n;0.5)
bioassay|سنجش(n;0.75)
biodiversity|تنوع زيستن(n;0.75)
biological|زيستن(j;0.75),بدست امده از تسيزشناسي عملي(j;0.25),معرفت الحيه(j;0.25),وابستن علدن حيه يا زندگي شناسي(j;0.25)
biotechnology|يوتكنولوژدن(n;0.75)
bir|BIR(n;0.75)
bird|پردن(n;0.75),مرغ(n;0.75),جوجه(n;0.5)
birth|تولد(n;0.75),ميلاد(n;0.5),زايش(n;0.5),پيدا(n;0.25),اغاز(n;0.25)
bishop|اسقف(n;0.75),پيل(n;0.5)
bitc|bitc(n;0.75)
bite|نيش(n;0.75),گاز(n;0.75),گزش(n;0.75),گزنده(n;0.25),گاز گرفتن(v;0.5),نيش زدن(v;0.5),گزيدن(v;0.25),سو زاندن(v;0.25)
bizarre|غريب و عجيب(j;0.5),غير مانوس(j;0.5),ناشي از هوس(j;0.5),وهمي(j;0.5)
black|سياه(j;0.75),مشكي(j;0.5),سياه رنگ(j;0.5),تيره(j;0.25),تاريك(j;0.25),چرك و كثيف(j;0.25),زشت(j;0.25),تهديد اميز(j;0.25),سياهي(n;0.5),دوده(n;0.25),لباس عزا(n;0.25),سياه شدن(v;0.25),سياه كردن(v;0.25)
blackwells|blackwells(n;0.75)
blame|سرزنش(n;0.75),گناه(n;0.5),عتاب(n;0.5),اشتباه(n;0.5),سب(n;0.25),مذمت(n;0.25),مقصر دانستن(v;0.5),سرزنش كردن(v;0.5),گله كردن(v;0.25),عيب جو كردن از(v;0.25),ملامت كردن(v;0.25),انتقاد كردن(v;0.25),لكه دار كردن(v;0.25),عتاب كردن(v;0.25)
blank|سفيد(j;0.75),نانوشتن(j;0.5),پوچ(j;0.25),فاصله(n;0.5),سفيدي(n;0.5),فاصله ياجا سفيدوخالي(n;0.25),جا ننوشتن(n;0.25),ورقه سفيد(n;0.25),ورقه پوچ(n;0.25)
blaring|وافغ(n;0.75)
blaze|فروغ(n;0.75),درخشنده(n;0.5),رنگ يا نور درخ(n;0.5),شعله درخ يا اتش مشتعل(n;0.5),با تصوير نشان دادن(v;0.75),جار زدن(v;0.5)
blind|كور(j;0.75),نابينا(j;0.75),تاريك(j;0.25),غير خوانا(j;0.25),بي بصيرت(j;0.25),هر چيزي كه مانع عبور نور شدن(j;0.25),عاجز(j;0.25),نا پيدا(j;0.25),كور كردن(v;0.5),خيره كردن(v;0.25),درز يا راه گرفتن(v;0.25),اغفال كردن(v;0.25),پرده(n;0.5),چشم بند(n;0.25),پناه(n;0.25),در پوش(n;0.25)
blinding|خيره كردن(j;0.75)
blink|چشمك زدن(v;0.75),سوسو زدن(v;0.5),تجاهل كردن(v;0.5),چشمك(n;0.75),نگاه مختصر(n;0.5),سوسو زدن نور چراغ(n;0.5)
blitz|حمله رعد اسا(n;0.75),حمله رعد اسا كردن(v;0.5)
blm|BLM(n;0.75)
bloc|بلوك(n;0.75),توده(n;0.25),جعبه قرقره(n;0.25),كنده(n;0.25),قطعه(n;0.25),قلنبه(n;0.25)
block|بلوك(n;0.75),توده(n;0.25),انسداد(n;0.5),سد(n;0.5),قطعه(n;0.5),كردن(n;0.25),جعبه قرقره(n;0.25),كنده(n;0.25),مانع ورادع(n;0.25),قلنبه(n;0.25),مسدود كردن(v;0.75),بستن(v;0.5)
blood|خون(n;0.75),مزاج(n;0.25),نسبت(n;0.25),نژاد(n;0.25),نيرو(n;0.25),خون جاريكردن(v;0.25),خون گرفتن(v;0.25)
bloodthirsty|خونخوار(j;0.75),سفاك(j;0.75),خونريز(j;0.75),خون اشام(j;0.5),تشنه بخون(j;0.5),بي رحم(j;0.5)
bloody|خونين(j;0.75),خوني(j;0.75),برنگ خون(j;0.25),خون الود(j;0.25),قرمز(j;0.25),خون مانند(j;0.25)
blow|فوت(n;0.5),ضربت(n;0.5),ضرب(n;0.25),خود ستا(n;0.25),دميدن(v;0.5),وزيدن(v;0.25),در اثر دمي ايجادن صدا كردن(v;0.25),تركيدن(v;0.25)
blue|ابي(j;0.5),نيلي(j;0.25),مستعد افسرده(j;0.25),دارا خلق گرفتن اسمان(j;0.25),اسمان نيلگون(j;0.25),زاغ(j;0.25)
blueprint|طرح(n;0.75),برنامه كار(n;0.5)
board|تختن(n;0.75),تابلو(n;0.5),تخته يا مقوا و يا هر چيز مسطح(n;0.25),ميز غذا(n;0.25),غذا رو ميز(n;0.25),اغذيه(n;0.25),ميزشور يادادگاه(n;0.25),هيئت عامله ياامنا(n;0.25),هيئت مديره(n;0.25),هيئت بازرگاني(n;0.25),سوار شدن(v;0.5),بكنار كشيدن امدن(v;0.25),پانسيون شدن(v;0.25),خوراك دادن(v;0.25),تخته نديدن كردن(v;0.25),تخته پوش كردن(v;0.25)
boat|قايق(n;0.75),كشيدن كوچك(n;0.25),كرجي(n;0.25),هر چيزي شبيه قايق(n;0.25),قايق راني كردن(v;0.25)
bob|فريب(n;0.5),ضربت(n;0.5),شاقول(n;0.5),سرزنش يا طعنه(n;0.5),شوخي(n;0.5),مسخره(n;0.5),حقه(n;0.5),وزنه قپان(n;0.5),منگوله(n;0.5),حركت تند و سريع(n;0.5),سرود ياتصنيف(n;0.5),يك شيلينگ(n;0.5),اونه(n;0.5),فريب دادن(v;0.5),ضربت زدن(v;0.5)
body|بدن(n;0.75),بدنه(n;0.75),جسم(n;0.5),تن(n;0.5),جسد(n;0.5),لاشه(n;0.25),اندام(n;0.5),پيكر(n;0.5),تنه(n;0.5),اطاق ماشين(n;0.25),جرم سماو(n;0.25),جرم(n;0.25),بالاتنه(n;0.25),دارا جسم كردن(v;0.25)
bodyline|bodyline(n;0.75)
bodywork|بدنه(n;0.75)
boggy|سخت كردن بودن(n;0.75)
bold|جسور(j;0.5),خيره(j;0.5),بي باك(j;0.25),گستاخ(j;0.25),بي پروا(j;0.25),دلير(j;0.25),خشن و بي احتياط(j;0.25),متهور(j;0.25),باشهامت(j;0.25),چيره(j;0.25),سرزدن(j;0.25),غيور(j;0.25),بامروت(j;0.25),خيره سر(j;0.25),سرانداز(j;0.25),سلحشور(j;0.25)
bomber|بمب انداز(n;0.5),هواپيما بمب افكن(n;0.25)
bond|اوراق قرضه(n;0.75),رابطه(n;0.5),ضمانت(n;0.5),پيوسته(n;0.5),قيد(n;0.25),زنجير(n;0.25),بند(n;0.25),قرارداد الزاماور(n;0.25),عهد وميثاق(n;0.25),قرارداد(n;0.25),كفيل(n;0.25),ضمانتنامه(n;0.25),رهن كردن(v;0.25),تضمين كردن(v;0.25)
bone|استخو(n;0.75),استخو نديدن(n;0.25),عظم(n;0.25),گرفتن يا برداشتن(v;0.25),خواستن(v;0.25),درخواست كردن(v;0.25),تقاضا كردن(v;0.25)
book|كتاب(n;0.75),دفتر(n;0.5),فصل(n;0.25),سفر(n;0.25),فصل ياقسمتي از كتاب(n;0.25),رزرو كردن(v;0.5),در كتاب يادف ثبت كردن(v;0.25),توقيف كردن(v;0.25)
booklet|كتابچه(n;0.75),جزوه(n;0.75),دفترچه(n;0.75),كتاب كوچك(n;0.25),رساله(n;0.75)
boot|بوت(n;0.75)
border|مرز(n;0.75),حد(n;0.25),حاشيه(n;0.75),كناره(n;0.5),سرحد(n;0.5),لبه(n;0.5),خط مرزي(n;0.25),خط سرحدي(n;0.25),سامان(n;0.25),محدود كردن(v;0.25),لبه گذاشتن(v;0.25),سجاف كردن(v;0.25),حاشيه گذاشتن(v;0.25),مجاور بودن(v;0.25)
born|متولد(j;0.75),مولد(j;0.75),زاد(j;0.75),زاييدن شدن(j;0.75),مولود(j;0.75),طبيعي(j;0.25)
borough|قصبه(n;0.75),بخش(n;0.75),دهكده(n;0.5)
borrowing|استقراض(n;0.75)
boss|ارباب(n;0.5),رئيس(n;0.25),رئيس كارفرما(n;0.25),برجسته(n;0.25),متصدي(n;0.25),خواجه(n;0.25),بر جسته كاري(n;0.25),رياست كردن بر(v;0.25),اربابي كردن(v;0.25),نقش برجستن تهيه كردن(v;0.25)
botch|سرهم نديدن(n;0.75),وصله و پينه بدنما(n;0.75),كار سرهم نديدن(n;0.75),ورم(n;0.75),سنبل كردن(v;0.75),خراب كردن(v;0.75),از شكل انداختن(v;0.75),سرهم نديدن كردن(v;0.75)
both|هر دو(j;0.75),اين يكي و ان يكي(j;0.25),هم(d;0.75),نيز(d;0.25),هر دو(n;0.5)
bottle|طردن(n;0.75),شيشه(n;0.5),محتو يك طردن(n;0.25),در طردن ريختن(v;0.25)
bottom|پايين(n;0.75),ته(n;0.75),كف(n;0.5),زير(n;0.5),كشيدن(n;0.25),غور(n;0.25),بن(n;0.25),پا(n;0.25)
bounce|گزاف گو(n;0.75),پرش(n;0.5),جست(n;0.5),پريدن(v;0.5),گزاف گو كردن(v;0.5),بالا جستن(v;0.5),پس جستن(v;0.5),بيرون انداختن(v;0.5),مورد توپ و تشر قرار دادن(v;0.5)
boundary|مرز(n;0.75),سرحد(n;0.5),كرانه(n;0.25),خط سرحدي(n;0.25),كراني(j;0.25)
bouquet|دستن گل(n;0.75)
bout|تقلا(n;0.75),كشمكش(n;0.5),يك دور مسابقه يا بازي(n;0.25)
bovine|گاو(j;0.75),شبيه گاو(j;0.5),گاو خو(n;0.5)
bow|تعظيم(n;0.75),كمان(n;0.75),قوس(n;0.5),سجود(n;0.5),تعظيم كردن(v;0.5),سرتك دادن(v;0.25),خم شدن(v;0.25),خم كردن(v;0.25),سر فرود اوردن(v;0.25),خميدن شدن(v;0.25),خميدن(v;0.25),سجود كردن(v;0.25)
box|جعبه(n;0.75),صندوق(n;0.5),محفظه(n;0.25),حعبه(n;0.25),قوطي(n;0.25),اطاقك(n;0.25),جا ويژه(n;0.25),لژ(n;0.25),توگوشي(n;0.25),بوكس(n;0.25),ضرب(n;0.25),بوكس بازي كردن(v;0.25),در جعبه محصور كردن(v;0.25),در قاب يا چهارچوب گذاشتن(v;0.25),مشت زدن(v;0.25),مشت بازي كردن(v;0.25)
boxer|مشت زن(n;0.75),بوكس باز(n;0.5)
boxing|بوكس(n;0.75),مشت زني(n;0.5),مشت بازي(n;0.25)
boy|پسر(n;0.75),پسر بچه(n;0.5),خانه شاگرد(n;0.25)
boys|پسر(n;0.75)
brain|مغز(n;0.75),كله(n;0.25),مخ(n;0.25),هوش(n;0.25),خرد(n;0.25),ذكاوت(n;0.25),مغز كسي را دراوردن(v;0.25),بقتل رساندن(v;0.25)
branch|شعبه(n;0.75),شاخه(n;0.75),انشعاب(n;0.5),رشته(n;0.5),بخش(n;0.5),فرع(n;0.5),شاخ(n;0.25),تركه(n;0.25),منشعب شدن(v;0.25),شاخه دراوردن(v;0.25),شاخهشاخه شدن(v;0.25),گل و بوته انداختن(v;0.25),مشتق شدن(v;0.25),جوانه زدن(v;0.25),براهجديدي رفتن(v;0.25)
brand|مارك(n;0.5),نشان(n;0.5),داغ(n;0.25),انگ(n;0.25),نيمسوز(n;0.25),جور(n;0.25),رقم(n;0.25),جنس(n;0.25),نوع(n;0.25),لكه دنام(دن n;0.25),علامت داغ(n;0.25),اتش پاره(n;0.25)
brave|شجاع(j;0.75),دلير(j;0.5),دلاور(j;0.5),غيور(j;0.5),سلحشور(j;0.5),تهم(j;0.5),نترس(j;0.5),با جرات(j;0.25),عالي(j;0.25),متهور(j;0.25),بي باك(j;0.25),بي پروا(j;0.25)
bravely|دليرانه(d;0.75),غازيانه(d;0.5)
brazil|برزيل(n;0.75)
brazilian|برزيل(n;0.75)
breach|رخنه(n;0.5),نقض عهد(n;0.5),شكاف(n;0.5),نقض عهد كردن(n;0.5),نقض كردن(v;0.5),رخنه كردن در(v;0.5),ايجاد شكاف كردن(v;0.5)
breaching|نقض(n;0.75)
bread|ن(n;0.75),قوت(n;0.25),نان زدن به(v;0.25)
break|شكستن(v;0.75),نقض كردن(v;0.25),از هم باز كردن(v;0.25),فتق داشتن(v;0.25),مكي كردن(v;0.25),شكست(n;0.75),وقفه(n;0.5),شكاف(n;0.5),تنفس(n;0.5),شكسته(n;0.5),انقصال(n;0.25),مهلت(n;0.25),فرصت(n;0.25),تفريح(n;0.25),فرجه(n;0.25),بادخور(n;0.25)
breakaway|جدا(n;0.75),فرار(n;0.5),استعفا(n;0.5),رم(n;0.5),هجوم وحشيانه گله گوسفند و گاو(n;0.5)
breakdown|تفكيك(n;0.75),سقوط ناگهاني(n;0.5),از كار افتاده(n;0.25)
breast|پستان(n;0.75),سينه(n;0.75),فكر(n;0.25),وجدان(n;0.25),نوك پستان(n;0.25),هر چيزي شبيه پستان(n;0.25),سينه بسينهشدن(v;0.25),با سينه دفاع كردن(v;0.25)
breed|جنس(n;0.5),اولاد(n;0.5),اعقاب(n;0.5),گونه(n;0.5),نوع(n;0.25),پروردن(v;0.5),بار اوردن(v;0.5),زاييدن(v;0.5),بدنيا اوردن(v;0.5),توليد كردن(v;0.5),تربيت كردن(v;0.5),پرورش دادن(v;0.5)
breeding|توليد مثل(n;0.5),تعليم و تربيت(n;0.25)
brick|اجر(n;0.75),خشت(n;0.5),اجر گوشه گرد(n;0.25),اجر گرفتن(v;0.25)
bridge|پل(n;0.75),جسر(n;0.25),برامده يندن(n;0.25),بازي ورق(n;0.25),پل ساختن(v;0.25),اتصال دادن(v;0.25)
brief|مختصر(j;0.75),كوتاه مختصر(j;0.25),خلاصه كردن(v;0.25),كوتاه كردن(v;0.25),اگاهي دادن(v;0.25),مختصر كردن(v;0.25),حكم(n;0.25),دستور(n;0.25),خلاصه اخبار(n;0.25)
brigade|تيپ(n;0.75),تشكيلات(n;0.5),دسته(n;0.5),فئه(n;0.5)
bright|روشن(j;0.75),درخ(j;0.75),تابناك(j;0.5),فروز(j;0.25),زرنگ(j;0.5),تابان(j;0.25),افتابي(j;0.25),باكله(j;0.25),با هوش(j;0.25)
brighter|روشن تر(n;0.75)
brilliant|با استعداد(n;0.75)
bring|را(n;0.75)
bringing|اوردن(n;0.75)
bristol|بريستول(n;0.75)
britain|بريتانيا(n;0.75),انگليس(n;0.75)
britannia|خاك انگليس(n;0.75)
british|انگليسي(n;0.75)
brixton|Brixton در(n;0.75)
broad|پهن(j;0.75),عريض(j;0.5),گشاد(j;0.25),پهناور(j;0.25),زن هرزه(n;0.25)
broadcast|پخش(n;0.75),دادن پراكني(n;0.25),سخن پراكني(n;0.25),منتشر كردن(v;0.25),پراكندن(v;0.25),اشاعه دادن(v;0.25),رساندن(v;0.25),پخش كردن(v;0.25)
broadly|گستردن(n;0.75)
broadsheet|broadsheet(n;0.75)
brogue|پوتين(n;0.75),چكمه(n;0.75),كفش(n;0.75),چكمه سنگين پاشنهدار(n;0.75),لهجه محلي(n;0.75),كفش خشن و سنگين(n;0.75),فريب(n;0.75)
broke|شكست(n;0.75),ورشكستن(j;0.75),بي پول(j;0.25)
broker|دلال(n;0.5),واسطه معامله بازرگاني(n;0.25)
bromide|برمور(n;0.5),اظهار يا بيان مبتذل(n;0.5),نمك الي يامعدني اسيد هيدروبرميك(n;0.5)
brooklands|brooklands(n;0.75)
brother|برادر(n;0.75),اخ(n;0.25),هم قطار(n;0.25)
brown|قهو(j;0.5),خرما(j;0.25),برشتن كردن(v;0.25),قهو كردن(v;0.25)
brucellosis|بروسلوز(n;0.75)
brunsson|brunsson(n;0.75)
brush|قلم مو(n;0.75),ماهوت پاك كن(n;0.25),ليف(n;0.25),كفش پاك كن و مانند ان(n;0.25),علف هرزه(n;0.25),بروس لوله(n;0.25),خس(n;0.25),ملامت(n;0.25),پاك كن(n;0.25),مسواك زدن(v;0.75),ليف زدن(v;0.5),قاشتن كردن(v;0.5)
brushed|خار(j;0.75),مرتفع(j;0.5)
brussels|بروكسل(n;0.75)
brutality|وحشيگري(n;0.75),بي رحمي(n;0.5),سبعيت(n;0.5),جانور خو(n;0.5),خرق(n;0.25)
buddhism|مذهب بودا(n;0.75)
buddhist|بودا(n;0.75)
budget|بودجه(n;0.75),حساب درامد و خرج(n;0.25)
budgetary|مربوط به بودجه(j;0.5)
buffalo|گاو وحشي(n;0.75),ترساندن(v;0.5)
buggy|حشره دار(j;0.75),نوعي درشكه سبك يك اسبه(n;0.5)
build|ساختن(v;0.75),درست كردن(v;0.25),بنا كردن(v;0.25),ساختم كردن(v;0.25)
builder|سازدن(n;0.75),خانه ساز(n;0.5)
building|ساختم(n;0.75),خانه(n;0.5),عمارت(n;0.5),بنا(n;0.25),ساختماني(j;0.75)
bujumbura|بوجومبورا(n;0.75)
bull|گاو نر(n;0.75),نر(n;0.5),حيوانه نر بزرگ(n;0.25),مثل گاو نر رفتاركردن(v;0.25),بي پروا كار كردن(v;0.25)
bullet|گلوله(n;0.75),گلوله تفنگ(n;0.25),مرمي(n;0.5)
bunche|بانچ(n;0.75)
bundle|بستن(n;0.75),بقچه(n;0.5),دسته كردن(v;0.5),بصورت گره دراوردن(v;0.5),بقچه بستن(v;0.5)
bureaucracy|ديو سالاري(n;0.5),حكومت اداري(n;0.5),رعايت تشريفات اداري بحد افراط(n;0.25),تاسيسات اداري(n;0.25),مجموع گماشته دولتي(n;0.25),كاغذ پراني(n;0.25),مقرراتي واهل كاغذ بازي(n;0.25)
bureaucratic|وابستن به امر اداري(j;0.5),وابستن به ادارهبازي وكاغذ پراني(j;0.25),وابستن به ديوانسالاري(j;0.25)
burly|زبر و خشن(j;0.75),تنومند(j;0.5),گره دار(j;0.5),ستبر(j;0.5),كلفت(j;0.5),سفت(j;0.5)
burma|برمه(n;0.75)
burn|سوخته(n;0.75),اثر سوخته(n;0.25),سوختن(v;0.5),اتش زدن(v;0.25),در اتش شهوت سوختن(v;0.25),سو زاندن(v;0.25),محترق شدن(v;0.25),چريدن(v;0.25),سوزش كردن(v;0.25)
burnhill|burnhill(n;0.75)
burning|سوزش(n;0.75),سوز(n;0.5),سوزان(j;0.75),سوزش اور(j;0.25),سوزدن(j;0.25),محترق(j;0.25),سوزش دار(j;0.25)
burr|با مته سوراخ كردن(v;0.75),غليظ تلفظ كردن(v;0.5),تيغ(n;0.5),پوست زبرو خاردارميوه(n;0.5),گره(n;0.5),بر امده(n;0.5)
burst|انفجار(n;0.75),شليك(n;0.5),شيوع(n;0.25),طوفان اتش(n;0.25),تركيدن(v;0.5),شكفتن(v;0.5),قطع كردن(v;0.25),منفجر كردن(v;0.25),از هم پاشيدن(v;0.25)
bury|از نظر پوشاندن(v;0.5),دفن كردن(v;0.5),بخاك سپردن(v;0.5)
bus|اتوبوس(n;0.75),گذرگاه(n;0.75),مسير عمومي(n;0.25),با اتوبوس رفتن(v;0.25)
bush|بوش(n;0.75),بوته(n;0.75),بته(n;0.5),شاخ و برگ(n;0.5)
busily|busily(n;0.75)
business|تجارت(n;0.5),حرفه(n;0.5),سوداگري(n;0.25),كار و كسب(n;0.25),دادن و ستد(n;0.25),كاسبي(n;0.25),بنگاه(n;0.25)
busy|مشغول(j;0.75),شلوغ(j;0.75),دست بكار(j;0.25),مشغول كردن(v;0.25)
but|اما(n;0.75),ولي(n;0.75),مگر(n;0.5),ليكن(n;0.25),بلكه(d;0.5),فقط(d;0.25),بطور محض(d;0.25),جز(n;0.5),باستثنا(n;0.25),بدون(n;0.25),بل(n;0.25),با وجود(n;0.25)
butter|كره(n;0.75),روغن(n;0.5),روغن زرد(n;0.25),كره ماليدن رو(n;0.25),چاپلوسي كردن(v;0.25)
butterfly|پروانه(n;0.75)
button|دكمه(n;0.75),تكمه(n;0.25),غنچه(n;0.25),هر چيزي شبيه دكمه(n;0.25),تكمه زدن(v;0.25),با دكمه محكم كردن(v;0.25)
buy|خريد(n;0.75),ابتياع(n;0.25),خريداري(n;0.5),خريدن(v;0.5),تطميع كردن(v;0.25),خريداري كردن(v;0.25),خريد كردن(v;0.25)
buying|خريد(n;0.75)
by|توسط(n;0.75),با(n;0.75),بوسيله(n;0.5),از(n;0.5),بدست(n;0.25),بواسطه(n;0.25),بتوسط(n;0.25),پهلو(n;0.25),نزديك(n;0.25),از پهلو(n;0.25),از كنار(n;0.25),كنار(d;0.25)
bypass|گذرگاه(n;0.5),گذرگاه فرعي(n;0.25),از راه فرعي رفتن(v;0.25),كنار گذاشتن(v;0.25),گذشتن(v;0.25)
caat|CAAT(n;0.75)
cabinet|كابينه(n;0.75),قفسه(n;0.5),اطاقك(n;0.25),جعبه كشودار(n;0.25),هيئت وزرا(n;0.25),هيئت دولت(n;0.25)
cache|نهانگاه(n;0.5),مخزن(n;0.5),ذخيره گاه(n;0.5),چيز ذخيره(n;0.25),چيز نهان شدن(n;0.25),پنهان كردن(v;0.25)
cactus|كاكتوس(n;0.75),صباره خنجري(n;0.5),انجير هندي(n;0.5)
cafe|كافه(n;0.75),رستور(n;0.5)
caff|caff(n;0.75)
calculate|محاسبه(n;0.75)
calculating|محاسبه(n;0.75)
calculation|محاسبه(n;0.75),محاسبه(n;0.75),حساب(n;0.5),براورد(n;0.25)
calendar|تقويم(n;0.75),سالنامه(n;0.5),سالنما(n;0.25)
california|كاليفرنيا(n;0.75)
call|صدا(n;0.5),ندا(n;0.25),دعوت(n;0.5),بانگ(n;0.25),فرياد(n;0.25),احضار(n;0.25),نامبري(n;0.25),طلب(n;0.25),فرا خواندن(v;0.25),صدا زدن(v;0.25),ناميدن(v;0.25),احضار كردن(v;0.25),خواستن(v;0.25),ملقب كردن(v;0.25),خواندن(v;0.25)
callinicos|كالينيكوس(n;0.75)
calvary|كالوري(n;0.75)
cambodia|كامبوج(n;0.75)
cambodian|كامبوج(n;0.75)
camcorder|دوربين فيلمبرداري(n;0.75)
came|امد(n;0.75)
camera|دوربين(n;0.75),دوربين يا جعبه عكاسي(n;0.25)
cameron|كامرون(n;0.75)
camp|اردوگاه(n;0.75),اردو(n;0.75),لشكرگاه(n;0.25),خيمه گاه(n;0.25),ربع(n;0.25),خيل(n;0.25),منزل كردن(v;0.25),اردو زدن(v;0.25),چادر زدن(v;0.25),خيمه زدن(v;0.25)
campaign|كمپين(n;0.75)
can|توانستن(n;0.75),قوطي(n;0.75),حلبي(n;0.25),قوطي كنسرو(n;0.25),قادر بودن(v;0.25),قدرت داشتن(v;0.25),امكان داشتن(v;0.25),زندان كردن(v;0.25),در قوطي ريختن(v;0.25),اخراج كردن(v;0.25),توانا داشتن(v;0.25)
canada|كانادا(n;0.75),كشور كانادا(n;0.5)
canal|مجرا(n;0.5),كاريز(n;0.5),ترعه(n;0.25),زه اب(n;0.25),مجرا فاضلاب(n;0.25),ابراه(n;0.25),اب رو(n;0.25),ترعه زدن(v;0.25),حفرترعه كردن(v;0.25),ابراه ساختن(v;0.25)
candidate|نامزد(n;0.75),داوطلب(n;0.75),كاندن(n;0.75),داوخواه(n;0.25)
candle|شمع(n;0.75),شمع ساختن(v;0.25)
canteen|قمقمه(n;0.75),فروشگاه يا رستور(n;0.5),هارخوردن(n;0.5)
cap|كلاه(n;0.75),كلاهك(n;0.75),راس(n;0.25),سربطري يا قوطي(n;0.25),سر پوش(n;0.25),با كلاهك پوشاندن(v;0.25),پوشش دار كردن(v;0.25)
capability|قابليت(n;0.75),توانا(n;0.75),استعداد پيشرفت(n;0.25),صلاحيت(n;0.25),لياقت(n;0.25),سامان(n;0.25)
capacity|ظرفيت(n;0.75),گنجا(n;0.5),صلاحيت(n;0.25),استعداد(n;0.25),مقام(n;0.25)
cape|شنل(n;0.75),دماغه(n;0.5)
capital|سرمايه(n;0.75),پايتخت(n;0.75),مركز(n;0.5),حرف بزرگ(n;0.25),سرستون(n;0.25),مستقر(n;0.25),تنخواه(n;0.25),مايه(n;0.25),حرف درشت(j;0.25),راسي(j;0.25),مستلزم بريدن سر يا قتل(j;0.25),قابل مجازه مرگ(j;0.25),دارا اهميت حياتي(j;0.25),عالي(j;0.25)
capture|تسخير(n;0.75),دستگيري(n;0.5),گرفتن(v;0.75),مبتلا كردن(v;0.25),اسير كردن(v;0.25)
car|اتومبيل(n;0.75),واگن(n;0.25),اطاق راه اهن(n;0.25),هفت ستاره دب اكبر(n;0.25),اطاق اسانسور(n;0.25)
caracas|كاراكاس(n;0.75)
carbon|كربن(n;0.75),ذغال خالص(n;0.25),الماس بيفروغ(n;0.25)
carbonise|carbonise(n;0.75)
carcase|جسد(n;0.75)
card|كارت(n;0.75),ورق(n;0.5),برگ(n;0.25),ورقبازي(n;0.25),گنجفه(n;0.25),كارت ويزيت(n;0.25),بليط(n;0.25),كارت تبريك(n;0.25),كارت عضويت(n;0.25),ماشين پرداختن پارچه(n;0.25),ورقبازي كردن(v;0.25)
care|مراقبت(n;0.75),توجه(n;0.5),مواظبت(n;0.5),سرپرستن(n;0.5),پرستاري(n;0.5),تيمار(n;0.25),بيم(n;0.25),دلواپسي غم(n;0.25),پروا(n;0.25),غم(n;0.25),غم خوردن(v;0.25),سرپرستن كردن(v;0.25)
career|حرفه‌ا(n;0.75)
carefully|بدقت(d;0.75)
carers|سرپرستان(n;0.75)
cargo|بار(n;0.75),محموله دريا(n;0.25),بار كشيدن(n;0.25)
caribbean|كارائيب(n;0.75)
caring|مراقبت(n;0.75)
carlton|كارلتون(n;0.75)
carpet|فرش(n;0.75),قالي(n;0.75),زيلو(n;0.25)
carriage|كالسكه(n;0.75),نورد(n;0.5)
carrier|حامل(n;0.75),حمال(n;0.25),حرفه(n;0.25),موج حام ل(n;0.25),حامل ميكرب(n;0.25),دستگاه كارير(n;0.25)
carry|رقم قلدن(n;0.5),بردن(v;0.5),بدوش گرفتن(v;0.25),حمل كردن(v;0.25),حمل و نقل كردن(v;0.25)
cartographer|نقشه كش(n;0.75)
carton|كارتن(n;0.75),مقوا(n;0.75),جعبه مقوا(n;0.5),جاكاغذي(n;0.25)
carving|كدن كاري(n;0.75),حكاكي(n;0.75),فر كوتاه مدت(n;0.5),بريدن(n;0.5)
case|مورد(n;0.75),محفظه(n;0.75),صندوق(n;0.25),پرونده(n;0.5),حالت(n;0.5),وضعيت(n;0.25),قضيه(n;0.5),جعبه(n;0.25),جلد(n;0.25),نيام(n;0.25),غلاف(n;0.25),قالب(n;0.25)
cash|پول نقد(n;0.75),صندوق پول(n;0.25),پول خرد(n;0.25),موجودي(n;0.25),نقد كردن(v;0.5),وصول كردن(v;0.25),دريافت كردن(v;0.25)
cassava|منهوت(n;0.5),نشاستن كاساو(n;0.5),ارد مانيوك(n;0.5)
cast|قالب(n;0.5),مهره ريزي(n;0.25),طاساندازي(n;0.25),گچ گيري(n;0.25),انداختن(v;0.5),در قالب قرار دادن(v;0.25),معين كردن(v;0.25),پخش كردن(v;0.25),ريختن(v;0.25),افكندن(v;0.25),بشكل در اوردن(v;0.25),مطرود(j;0.25)
